2026-04-13 22:53:56 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-13 22:53:56 | WARNING  | core.claim_decomposer:decompose:112 | LLM decomposition failed (Intentional: testing spaCy fallback); falling back to spaCy
2026-04-13 22:53:56 | INFO     | core.claim_decomposer:decompose:115 | Fallback decomposed text into 2 claims
2026-04-13 22:53:56 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 0.012s
2026-04-13 22:53:56 | INFO     | core.evidence_retriever:__init__:44 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-13 22:54:04 | INFO     | core.evidence_retriever:__init__:59 | Loading FAISS index from data/index/knowledge.index
2026-04-13 22:54:04 | INFO     | core.evidence_retriever:__init__:61 | Index loaded — 24,605 vectors
2026-04-13 22:54:04 | INFO     | core.evidence_retriever:__init__:63 | Loading metadata from data/metadata/chunks.jsonl
2026-04-13 22:54:04 | INFO     | core.evidence_retriever:_load_metadata:132 | Loaded 24,605 metadata entries
2026-04-13 22:54:06 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.retrieve completed in 1.154s
2026-04-13 22:56:14 | INFO     | core.pipeline:__init__:53 | Initialising VeriFactPipeline (profile=interactive, provider=ollama, model=llama3.1:8b)
2026-04-13 22:56:14 | INFO     | core.llm_client:_try_init:52 | Ollama configured (model=llama3.1:8b, url=http://localhost:11434)
2026-04-13 22:56:14 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-13 22:56:14 | INFO     | core.evidence_retriever:__init__:44 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-13 22:56:23 | INFO     | core.evidence_retriever:__init__:59 | Loading FAISS index from data/index/knowledge.index
2026-04-13 22:56:23 | INFO     | core.evidence_retriever:__init__:61 | Index loaded — 24,605 vectors
2026-04-13 22:56:23 | INFO     | core.evidence_retriever:__init__:63 | Loading metadata from data/metadata/chunks.jsonl
2026-04-13 22:56:23 | INFO     | core.evidence_retriever:_load_metadata:132 | Loaded 24,605 metadata entries
2026-04-13 22:56:23 | INFO     | core.verdict_engine:__init__:57 | Loading NLI model: cross-encoder/nli-deberta-v3-base
2026-04-13 22:58:18 | INFO     | core.verdict_engine:__init__:65 | NLI model using Apple MPS acceleration
2026-04-13 22:58:18 | INFO     | core.verdict_engine:__init__:72 | VerdictEngine ready
2026-04-13 22:58:18 | INFO     | core.pipeline:__init__:65 | VeriFactPipeline ready
2026-04-13 23:02:38 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 25 claims
2026-04-13 23:02:38 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 97.295s
2026-04-13 23:02:38 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 25 claims extracted
2026-04-13 23:04:30 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-13 23:04:30 | WARNING  | core.claim_decomposer:decompose:112 | LLM decomposition failed (Intentional: testing spaCy fallback); falling back to spaCy
2026-04-13 23:04:30 | INFO     | core.claim_decomposer:decompose:115 | Fallback decomposed text into 2 claims
2026-04-13 23:04:30 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 0.013s
2026-04-13 23:04:30 | INFO     | core.evidence_retriever:__init__:44 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-13 23:04:38 | INFO     | core.evidence_retriever:__init__:59 | Loading FAISS index from data/index/knowledge.index
2026-04-13 23:04:38 | INFO     | core.evidence_retriever:__init__:61 | Index loaded — 24,605 vectors
2026-04-13 23:04:38 | INFO     | core.evidence_retriever:__init__:63 | Loading metadata from data/metadata/chunks.jsonl
2026-04-13 23:04:38 | INFO     | core.evidence_retriever:_load_metadata:132 | Loaded 24,605 metadata entries
2026-04-13 23:04:38 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.retrieve completed in 0.210s
2026-04-13 23:04:53 | INFO     | core.pipeline:__init__:53 | Initialising VeriFactPipeline (profile=interactive, provider=ollama, model=llama3.1:8b)
2026-04-13 23:04:53 | INFO     | core.llm_client:_try_init:52 | Ollama configured (model=llama3.1:8b, url=http://localhost:11434)
2026-04-13 23:04:53 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-13 23:04:53 | INFO     | core.evidence_retriever:__init__:44 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-13 23:05:02 | INFO     | core.evidence_retriever:__init__:59 | Loading FAISS index from data/index/knowledge.index
2026-04-13 23:05:02 | INFO     | core.evidence_retriever:__init__:61 | Index loaded — 24,605 vectors
2026-04-13 23:05:02 | INFO     | core.evidence_retriever:__init__:63 | Loading metadata from data/metadata/chunks.jsonl
2026-04-13 23:05:02 | INFO     | core.evidence_retriever:_load_metadata:132 | Loaded 24,605 metadata entries
2026-04-13 23:05:02 | INFO     | core.verdict_engine:__init__:57 | Loading NLI model: cross-encoder/nli-deberta-v3-base
2026-04-13 23:05:08 | INFO     | core.verdict_engine:__init__:65 | NLI model using Apple MPS acceleration
2026-04-13 23:05:08 | INFO     | core.verdict_engine:__init__:72 | VerdictEngine ready
2026-04-13 23:05:08 | INFO     | core.pipeline:__init__:65 | VeriFactPipeline ready
2026-04-13 23:05:15 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 2 claims
2026-04-13 23:05:15 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 6.348s
2026-04-13 23:05:15 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 2 claims extracted
2026-04-13 23:07:35 | INFO     | core.pipeline:__init__:53 | Initialising VeriFactPipeline (profile=interactive, provider=ollama, model=llama3.1:8b)
2026-04-13 23:07:35 | INFO     | core.llm_client:_try_init:52 | Ollama configured (model=llama3.1:8b, url=http://localhost:11434)
2026-04-13 23:07:35 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-13 23:07:35 | INFO     | core.evidence_retriever:__init__:49 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-13 23:07:47 | INFO     | core.evidence_retriever:__init__:64 | Loading FAISS index from data/index/knowledge.index
2026-04-13 23:07:47 | INFO     | core.evidence_retriever:__init__:66 | Index loaded — 24,605 vectors
2026-04-13 23:07:47 | INFO     | core.evidence_retriever:__init__:68 | Loading metadata from data/metadata/chunks.jsonl
2026-04-13 23:07:47 | INFO     | core.evidence_retriever:_load_metadata:137 | Loaded 24,605 metadata entries
2026-04-13 23:07:47 | INFO     | core.verdict_engine:__init__:57 | Loading NLI model: cross-encoder/nli-deberta-v3-base
2026-04-13 23:07:52 | INFO     | core.verdict_engine:__init__:65 | NLI model using Apple MPS acceleration
